Date,Border,Monthly_Crossings,Year,Month,Month_Name
2020-05-01,Mexico,10656903,2020,5,May
2020-06-01,Canada,1540712,2020,6,June
2020-06-01,Mexico,12039061,2020,6,June
2020-07-01,Canada,1612690,2020,7,July
2020-07-01,Mexico,12388649,2020,7,July
2020-08-01,Canada,1714174,2020,8,August
2020-08-01,Mexico,12881196,2020,8,August
2020-09-01,Canada,1730368,2020,9,September
2020-09-01,Mexico,12536675,2020,9,September
2020-10-01,Canada,1762684,2020,10,October
2020-10-01,Mexico,14059498,2020,10,October
2020-11-01,Canada,1624869,2020,11,November
2020-11-01,Mexico,13490767,2020,11,November
2020-12-01,Canada,1568631,2020,12,December
2020-12-01,Mexico,13728224,2020,12,December
2021-01-01,Canada,1596316,2021,1,January
2021-01-01,Mexico,14310579,2021,1,January
2021-02-01,Canada,1465675,2021,2,February
2021-02-01,Mexico,13090316,2021,2,February
2021-03-01,Canada,1818274,2021,3,March
2021-03-01,Mexico,16060812,2021,3,March
2021-04-01,Canada,1688595,2021,4,April
2021-04-01,Mexico,15801943,2021,4,April
2021-05-01,Canada,1748625,2021,5,May
2021-05-01,Mexico,16399551,2021,5,May
2021-06-01,Canada,1825042,2021,6,June
2021-06-01,Mexico,16445242,2021,6,June
2021-07-01,Canada,1838438,2021,7,July
2021-07-01,Mexico,16713016,2021,7,July
2021-08-01,Canada,2333125,2021,8,August
2021-08-01,Mexico,17151284,2021,8,August
2021-09-01,Canada,2312496,2021,9,September
2021-09-01,Mexico,16527074,2021,9,September
2021-10-01,Canada,2327083,2021,10,October
2021-10-01,Mexico,17439700,2021,10,October
2021-11-01,Canada,2674041,2021,11,November
2021-11-01,Mexico,18560916,2021,11,November
2021-12-01,Canada,2989342,2021,12,December
2021-12-01,Mexico,21041627,2021,12,December
2022-01-01,Canada,2126121,2022,1,January
2022-01-01,Mexico,19872720,2022,1,January
2022-02-01,Canada,2140893,2022,2,February
2022-02-01,Mexico,18758790,2022,2,February
2022-03-01,Canada,2992770,2022,3,March
2022-03-01,Mexico,21440635,2022,3,March
2022-04-01,Canada,4091393,2022,4,April
2022-04-01,Mexico,21223691,2022,4,April
2022-05-01,Canada,4648165,2022,5,May
2022-05-01,Mexico,21569627,2022,5,May
2022-06-01,Canada,5273546,2022,6,June
2022-06-01,Mexico,20673710,2022,6,June
2022-07-01,Canada,6527388,2022,7,July
2022-07-01,Mexico,22094444,2022,7,July
2022-08-01,Canada,6550339,2022,8,August
2022-08-01,Mexico,21733566,2022,8,August
2022-09-01,Canada,5388875,2022,9,September
2022-09-01,Mexico,21028742,2022,9,September
2022-10-01,Canada,5741597,2022,10,October
2022-10-01,Mexico,21938411,2022,10,October
2022-11-01,Canada,4999946,2022,11,November
2022-11-01,Mexico,21839654,2022,11,November
2022-12-01,Canada,4908379,2022,12,December
2022-12-01,Mexico,22918109,2022,12,December
2023-01-01,Canada,4685610,2023,1,January
2023-01-01,Mexico,22215040,2023,1,January
2023-02-01,Canada,4536450,2023,2,February
2023-02-01,Mexico,20001932,2023,2,February
2023-03-01,Canada,5373629,2023,3,March
2023-03-01,Mexico,22883785,2023,3,March
2023-04-01,Canada,5534787,2023,4,April
2023-04-01,Mexico,22550585,2023,4,April
2023-05-01,Canada,6305656,2023,5,May
2023-05-01,Mexico,23025534,2023,5,May
2023-06-01,Canada,6978141,2023,6,June
2023-06-01,Mexico,21893160,2023,6,June
2023-07-01,Canada,9007752,2023,7,July
2023-07-01,Mexico,23539664,2023,7,July
2023-08-01,Canada,9156150,2023,8,August
2023-08-01,Mexico,23151205,2023,8,August
2023-09-01,Canada,7226765,2023,9,September
2023-09-01,Mexico,21749280,2023,9,September
2023-10-01,Canada,6855550,2023,10,October
2023-10-01,Mexico,22578582,2023,10,October
2023-11-01,Canada,6059394,2023,11,November
2023-11-01,Mexico,22872577,2023,11,November
2023-12-01,Canada,6324285,2023,12,December
