Date,Border,Monthly_Crossings,Year,Month,Month_Name
2020-06-01,Mexico,7168538,2020,6,June
2020-07-01,Canada,295100,2020,7,July
2020-07-01,Mexico,7395909,2020,7,July
2020-08-01,Canada,323872,2020,8,August
2020-08-01,Mexico,7789898,2020,8,August
2020-09-01,Canada,312747,2020,9,September
2020-09-01,Mexico,7575252,2020,9,September
2020-10-01,Canada,324327,2020,10,October
2020-10-01,Mexico,8519302,2020,10,October
2020-11-01,Canada,274642,2020,11,November
2020-11-01,Mexico,8180512,2020,11,November
2020-12-01,Canada,284489,2020,12,December
2020-12-01,Mexico,8327494,2020,12,December
2021-01-01,Canada,269924,2021,1,January
2021-01-01,Mexico,8829049,2021,1,January
2021-02-01,Canada,244337,2021,2,February
2021-02-01,Mexico,7979809,2021,2,February
2021-03-01,Canada,316016,2021,3,March
2021-03-01,Mexico,9953259,2021,3,March
2021-04-01,Canada,312704,2021,4,April
2021-04-01,Mexico,9826779,2021,4,April
2021-05-01,Canada,341845,2021,5,May
2021-05-01,Mexico,10296179,2021,5,May
2021-06-01,Canada,369139,2021,6,June
2021-06-01,Mexico,10249926,2021,6,June
2021-07-01,Canada,424762,2021,7,July
2021-07-01,Mexico,10463641,2021,7,July
2021-08-01,Canada,704967,2021,8,August
2021-08-01,Mexico,10764064,2021,8,August
2021-09-01,Canada,710371,2021,9,September
2021-09-01,Mexico,10349266,2021,9,September
2021-10-01,Canada,676963,2021,10,October
2021-10-01,Mexico,10936952,2021,10,October
2021-11-01,Canada,921902,2021,11,November
2021-11-01,Mexico,12323222,2021,11,November
2021-12-01,Canada,1216769,2021,12,December
2021-12-01,Mexico,13891858,2021,12,December
2022-01-01,Canada,650258,2022,1,January
2022-01-01,Mexico,12960194,2022,1,January
2022-02-01,Canada,702296,2022,2,February
2022-02-01,Mexico,12143782,2022,2,February
2022-03-01,Canada,1117278,2022,3,March
2022-03-01,Mexico,13875384,2022,3,March
2022-04-01,Canada,1943755,2022,4,April
2022-04-01,Mexico,13993314,2022,4,April
2022-05-01,Canada,2277397,2022,5,May
2022-05-01,Mexico,14095443,2022,5,May
2022-06-01,Canada,2673786,2022,6,June
2022-06-01,Mexico,13314191,2022,6,June
2022-07-01,Canada,3706735,2022,7,July
2022-07-01,Mexico,14559235,2022,7,July
2022-08-01,Canada,3621938,2022,8,August
2022-08-01,Mexico,14058860,2022,8,August
2022-09-01,Canada,2799906,2022,9,September
2022-09-01,Mexico,13595769,2022,9,September
2022-10-01,Canada,2996723,2022,10,October
2022-10-01,Mexico,14105622,2022,10,October
2022-11-01,Canada,2516894,2022,11,November
2022-11-01,Mexico,14293715,2022,11,November
2022-12-01,Canada,2609749,2022,12,December
2022-12-01,Mexico,15188208,2022,12,December
2023-01-01,Canada,2315766,2023,1,January
2023-01-01,Mexico,14578092,2023,1,January
2023-02-01,Canada,2292045,2023,2,February
2023-02-01,Mexico,12926336,2023,2,February
2023-03-01,Canada,2747492,2023,3,March
2023-03-01,Mexico,14898208,2023,3,March
2023-04-01,Canada,2949649,2023,4,April
2023-04-01,Mexico,14922000,2023,4,April
2023-05-01,Canada,3386469,2023,5,May
2023-05-01,Mexico,15120311,2023,5,May
2023-06-01,Canada,3898410,2023,6,June
2023-06-01,Mexico,14223086,2023,6,June
2023-07-01,Canada,5271322,2023,7,July
2023-07-01,Mexico,15587198,2023,7,July
2023-08-01,Canada,5309969,2023,8,August
2023-08-01,Mexico,15068738,2023,8,August
2023-09-01,Canada,3873554,2023,9,September
2023-09-01,Mexico,14145880,2023,9,September
2023-10-01,Canada,3544373,2023,10,October
2023-10-01,Mexico,14585725,2023,10,October
2023-11-01,Canada,3035793,2023,11,November
2023-11-01,Mexico,15057725,2023,11,November
2023-12-01,Canada,3414032,2023,12,December
2023-12-01,Mexico,15695033,2023,12,December
2024-01-01,Canada,2512004,2024,1,January
2024-01-01,Mexico,13499969,2024,1,January
2024-02-01,Canada,2724553,2024,2,February
2024-02-01,Mexico,13861482,2024,2,February
2024-03-01,Canada,3455730,2024,3,March
2024-03-01,Mexico,15452966,2024,3,March
2024-04-01,Canada,3237113,2024,4,April
2024-04-01,Mexico,14903600,2024,4,April
2024-05-01,Canada,3891596,2024,5,May
2024-05-01,Mexico,15280384,2024,5,May
2024-06-01,Canada,4394616,2024,6,June
2024-06-01,Mexico,14659328,2024,6,June
2024-07-01,Canada,5556417,2024,7,July
2024-07-01,Mexico,15543002,2024,7,July
2024-08-01,Canada,5859084,2024,8,August
2024-08-01,Mexico,15364365,2024,8,August
2024-09-01,Canada,4005598,2024,9,September
2024-09-01,Mexico,15151528,2024,9,September
2024-10-01,Canada,3799563,2024,10,October
2024-10-01,Mexico,15468981,2024,10,October
2024-11-01,Canada,3366293,2024,11,November
2024-11-01,Mexico,15393205,2024,11,November
2024-12-01,Canada,3599015,2024,12,December
2024-12-01,Mexico,16797388,2024,12,December
2025-01-01,Canada,2721731,2025,1,January
2025-01-01,Mexico,15138267,2025,1,January
2025-02-01,Canada,2288329,2025,2,February
2025-02-01,Mexico,13288185,2025,2,February
2025-03-01,Canada,2588029,2025,3,March
2025-03-01,Mexico,14630888,2025,3,March
2025-04-01,Canada,2400358,2025,4,April
2025-04-01,Mexico,15018409,2025,4,April
2025-05-01,Canada,2810526,2025,5,May
2025-05-01,Mexico,15297070,2025,5,May
